dir,/home/junkado/Desktop/keio/20180325/3ddata/pitcher/takahashi/,the number of files,9,optimal reference,4-1_009.csv,
0.000000000000000000e+00,8.827732174677589683e+01,6.789546888255631529e+01,1.084214829737644692e+02,8.230190607789870683e+01,8.512462832987256434e+01,1.237877244085569686e+02,9.556606507188128319e+01,8.472368151272293346e+01
9.607206957151072402e+01,0.000000000000000000e+00,7.578488574345816176e+01,1.497304476618832894e+02,1.153608062461788677e+02,1.123523815906617074e+02,1.506656138644095790e+02,1.145299034537974165e+02,1.087224597589204507e+02
7.236149606740352169e+01,8.588691097325711610e+01,0.000000000000000000e+00,1.171547105265698008e+02,1.221232336885427117e+02,1.124653097987118144e+02,1.651132730923042971e+02,1.176623984963451903e+02,1.245768896194102098e+02
2.350789201549068821e+02,2.946651638127481192e+02,2.484050165380560600e+02,0.000000000000000000e+00,2.635708193167983495e+02,2.995047531555786691e+02,3.576931407042002888e+02,2.922663012136177372e+02,2.990288699253780464e+02
8.945365797739954417e+01,1.199537415498409985e+02,1.216572476586453604e+02,1.685663269026100011e+02,0.000000000000000000e+00,7.930137114213755467e+01,1.356996157185199650e+02,1.060827589509087119e+02,1.169262545844997021e+02
7.317780015928782689e+01,9.151458312777519666e+01,8.592775409805658171e+01,1.350457551202716218e+02,5.701354105272289985e+01,0.000000000000000000e+00,1.059263340933537165e+02,8.984837266797386235e+01,8.832922102310574530e+01
9.449708179066341529e+01,1.102400803230014930e+02,1.130116430517358026e+02,1.528353079729748174e+02,8.992158912652500646e+01,9.408805648007040645e+01,0.000000000000000000e+00,8.886257356737046109e+01,9.911523258089304989e+01
9.112212419763704929e+01,1.019566807455808402e+02,1.091484695183501117e+02,1.519646350654288653e+02,8.800123726994807782e+01,8.969111540578923325e+01,1.035396736965595892e+02,0.000000000000000000e+00,1.005437977160241019e+02
5.784645721806597152e+01,8.117544147645789110e+01,8.532742975783141048e+01,1.175839209573466064e+02,6.942912548313344701e+01,7.120003875681656780e+01,9.023917378046712656e+01,8.476179058963133173e+01,0.000000000000000000e+00
